n=10 count<=32 need D+ell>=88; skeleton 0 = [[0, 1, 2, 3, 4]] |Aut|=14400; q=0, orbit O=[0, 1, 2, 3, 4]
  derived structures at q with 1 triples: 2 classes [0.0s]
  derived structures at q with 2 triples: 6 classes [0.1s]
  derived structures at q with 3 triples: 12 classes [0.1s]
  derived structures at q with 4 triples: 26 classes [0.1s]
  derived structures at q with 5 triples: 32 classes [0.2s]
  derived structures at q with 6 triples: 31 classes [0.2s]
  derived structures at q with 7 triples: 13 classes [0.2s]
  derived structures at q with 8 triples: 3 classes [0.2s]
  derived structures at q with 9 triples: 0 classes [0.2s]
d=0 derived #0: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=6 derived #12: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=6 derived #13: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=6 derived #14: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=6 derived #15: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=6 derived #16: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=6 derived #17: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=6 derived #18: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=6 derived #19: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=6 derived #20: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=6 derived #21: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=6 derived #22: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=6 derived #23: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=6 derived #24: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=6 derived #25: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=6 derived #26: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=6 derived #27: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=6 derived #28: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=6 derived #29: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=6 derived #30: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=7 derived #0: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=7 derived #1: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=7 derived #2: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=7 derived #3: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=7 derived #4: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=7 derived #5: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=7 derived #6: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=7 derived #7: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=7 derived #8: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=7 derived #9: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=7 derived #10: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=7 derived #11: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=7 derived #12: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=8 derived #0: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.7s]
d=8 derived #1: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.9s]
d=8 derived #2: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [1.0s]

0 isomorphism classes (skeleton 0) with some completion [6.5s]
